url,status,first_seen,last_seen,last_price,last_price_date,sold_date,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
car/14785765/toyota/corolla/vic/preston/sedan,sold,2026-01-25T15:33:31,2026-01-28T04:26:19,17990.0,2026-01-25T15:33:31,2026-01-30T01:30:27,2017,Toyota,Corolla,Ascent,Sedan,119613.0,Automatic,2026-03-25,Unleaded,VIC
car/14699797/toyota/crown/vic/maidstone/limousine,active,2026-01-25T15:33:31,2026-02-27T23:28:58,14995.0,2026-01-25T15:33:31,,2008,Toyota,Crown,ATHLETE,Sedan,95956,Automatic,,Unleaded,VIC
car/14659625/toyota/kluger/vic/maidstone/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,19989.0,2026-02-20T22:06:45,,2014,Toyota,Kluger,Gx (4X2),Wagon,207708,Automatic,2026-01-30,Unleaded,VIC
car/14848445/toyota/camry/vic/preston/sedan,sold,2026-01-25T15:33:31,2026-01-25T15:33:31,6500.0,2026-01-25T15:33:31,2026-01-25T18:47:02,2007,Toyota,Camry,Sportivo,Sedan,286202.0,Automatic,2026-03-29,Unleaded,VIC
car/14758575/toyota/aqua/vic/maidstone/hatchback,active,2026-01-25T15:33:31,2026-02-27T23:28:58,13995.0,2026-01-25T15:33:31,,2012,Toyota,Aqua,G,Hatch,86336,Automatic,,Hybrid,VIC
car/14734974/toyota/rukus/vic/footscray/wagon,active,2026-01-25T15:33:31,2026-02-27T23:28:58,7990.0,2026-01-25T15:33:31,,2011,Toyota,Rukus,Build 1,Wagon,224102,Automatic,,Unleaded,VIC
car/14699799/toyota/landcruiser-prado/vic/maidstone/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,29995.0,2026-01-25T15:33:31,,1998,Toyota,Landcruiser Prado,TX,SUV,167640,Automatic,,Diesel,VIC
car/14920514/toyota/landcruiser-prado/vic/tottenham/suv,sold,2026-01-25T15:33:31,2026-01-25T15:33:31,53888.0,2026-01-25T15:33:31,2026-01-25T18:47:02,2018,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,133591.0,Automatic,,Diesel,VIC
car/14919637/toyota/prius/vic/maidstone/hatchback,active,2026-01-25T15:33:31,2026-02-27T23:28:58,14995.0,2026-02-12T06:04:59,,2012,Toyota,Prius,ZVW30R,Hatch,112749,Automatic,,Hybrid,VIC
car/14919295/toyota/camry/vic/preston/sedan,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,15880.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2016,Toyota,Camry,Altise Hybrid,Sedan,105568.0,Automatic,2026-12-12,Hybrid,VIC
car/14919636/toyota/probox/vic/maidstone/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,,2026-02-27T23:28:58,,2020,Toyota,Probox,G L,SUV,92770,Automatic,,Hybrid,VIC
car/14928348/toyota/yaris-cross/vic/melbourne/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,31490.0,2026-02-18T21:39:48,,2021,Toyota,Yaris Cross,URBAN,SUV,45568,,2026-05-23,Other,VIC
