year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2014,BMW,316I,,Sedan,137123,Automatic,2026-01-15,12990,Premium,VIC,car/14937372/bmw/316i/vic/coburg-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Volkswagen,T-Cross,85Tsi Style,Wagon,60000,Automatic,2025-05-11,18850,Premium,VIC,car/14934025/volkswagen/t-cross/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,BMW,125I,M Sport,Hatchback,105639,Automatic,,22000,Premium,VIC,car/14928444/bmw/125i/vic/ringwood/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,HSV,Clubsport,R8 Lsa,Sedan,45259,Automatic,,88900,Premium,VIC,car/14873017/hsv/clubsport/vic/south-melbourne/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2010,BMW,118D,,Convertible,108521,Automatic,2026-03-13,13990,Diesel,VIC,car/14917763/bmw/118d/vic/williamstown-north/convertible,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2021,Honda,Odyssey,Vil7,Wagon,121692,Automatic,,29999,Unleaded,VIC,car/14944143/honda/odyssey/vic/melton/people-mover,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Mazda,CX-7,Luxury (4X4),Wagon,234826,Automatic,2026-01-02,4900,Premium,VIC,car/14857731/mazda/cx-7/vic/braybrook/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2025,Ford,Mustang,RTR SPEC 3,Coupe,704,Automatic,,159990,Premium,VIC,car/14960692/ford/mustang/vic/port-melbourne/sportscar,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Mercedes-Benz,GLC250,4Matic,Wagon,115399,Automatic,,34888,Premium,VIC,car/14971366/mercedes-benz/glc250/vic/port-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,MG,MG3,Core,Hatchback,134297,Automatic,,9990,Premium,VIC,car/14977688/mg/mg3/vic/williamstown-north/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2007,Honda,Jazz,Vti,Hatchback,160935,Automatic,2026-04-01,5990,Unleaded,VIC,car/14956040/honda/jazz/vic/williamstown/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2025,BYD,Sealion 6,Dynamic,Wagon,5104,Automatic,,55990,Hybrid,VIC,car/14951767/byd/sealion-6/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Ford,Transit Custom,290S (Swb),Van,194009,Manual,2025-09-29,15990,Diesel,VIC,car/14941130/ford/transit-custom/vic/maidstone/van,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Land Rover,Range Rover Sport,V8 Sc Svr (423Kw),Wagon,77622,Automatic,,159990,Premium,VIC,car/14864983/land-rover/range-rover-sport/vic/port-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2021,Mercedes-Benz,Glb200,,Wagon,71429,Automatic,2026-04-29,36490,Premium,VIC,car/14887109/mercedes-benz/glb200/vic/yarraville/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Mini,Cooper,D R56 MY13,Hatch,107587,Automatic,2026-01-30,11990,Diesel,VIC,car/14937868/mini/cooper/vic/west-footscray/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Toyota,C-HR,Koba (Awd),Hatchback,101511,Automatic,2026-03-05,26888,Premium,VIC,car/14872001/toyota/c-hr/vic/ferntree-gully/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Mazda,3,Neo,Sedan,151765,Manual,2026-04-21,6990,Unleaded,VIC,car/14976914/mazda/3/vic/coburg-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2006,Ford,Falcon,Xl (Lpg),Cab Chassis,179000,Automatic,,9999,LPG,VIC,car/14966410/ford/falcon/vic/footscray/single-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2022,Isuzu,D-MAX,Sx (4X4),Crew Cab Chassis,134567,Automatic,,39975,Diesel,VIC,car/14852596/isuzu/d-max/vic/officer/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2012,Abarth,500,Esseesse,Convertible,93940,Automatic,2026-03-05,14990,Premium,VIC,car/14917123/abarth/500/vic/preston/convertible,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2015,Volkswagen,Tiguan,132 Tsi (4X4),Wagon,133103,Automatic,2026-02-10,10990,Premium,VIC,car/14968086/volkswagen/tiguan/vic/coburg-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Toyota,RAV4,Cruiser 2Wd Hybrid,Wagon,93511,Automatic,,41888,Hybrid,VIC,car/14923975/toyota/rav4/vic/oakleigh/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2012,Hyundai,I40,Premium,Wagon,117172,Automatic,2026-06-04,10990,Unleaded,VIC,car/14968076/hyundai/i40/vic/coburg-north/wagon,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2006,Holden,Captiva,Cx (4X4),Wagon,260000,Automatic,2026-03-22,4990,Unleaded,VIC,car/14910762/holden/captiva/vic/williamstown/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2011,Holden,Cruze,Cd,Sedan,136000,Automatic,2026-04-01,9990,Unleaded,VIC,car/14935659/holden/cruze/vic/moorabbin/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
