year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason,status,first_seen,last_seen,last_price,last_price_date,sold_date,source,make_norm,model_norm,variant_norm,transmission_norm,fuel_norm,body_norm,year_int,price_value,odometer_value
2003,Toyota,RAV4,Cruiser (4X4),Wagon,334754.0,Automatic,2026-03-27,7688.0,Unleaded,VIC,car/14780371/toyota/rav4/vic/braybrook/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,rav4,cruiser 4x4,automatic,unleaded,wagon,2003,7688.0,334754.0
2017,Toyota,Hilux,Sr (4X4),Dual Cab Utility,60981.0,Automatic,,41990.0,Diesel,VIC,car/14767326/toyota/hilux/vic/preston/dual-cab,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hilux,sr 4x4,automatic,diesel,dual cab utility,2017,41990.0,60981.0
2018,Toyota,Hilux,Sr5 (4X4),Double Cab Pick Up,144080.0,Automatic,2026-03-24,45990.0,Diesel,VIC,car/14814737/toyota/hilux/vic/tullamarine/dual-cab,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hilux,sr5 4x4,automatic,diesel,double cab pick up,2018,45990.0,144080.0
2020,Toyota,Corolla,Zr,Hatchback,81988.0,Automatic,2026-11-28,26990.0,Unleaded,VIC,car/14859114/toyota/corolla/vic/coburg-north/hatchback,2026-01-25T15:12:25,UNCLASSIFIED,[DISALLOWED_VARIANT],,,,,,,,toyota,corolla,zr,automatic,unleaded,hatchback,2020,26990.0,81988.0
2005,Toyota,Corolla,Ascent,Wagon,219000.0,Automatic,,5499.0,Unleaded,VIC,car/14916903/toyota/corolla/vic/northcote/wagon,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,corolla,ascent,automatic,unleaded,wagon,2005,5499.0,219000.0
2021,Toyota,Landcruiser,Lc300 Sahara (4X4),Wagon,55667.0,Automatic,2025-12-01,119970.0,Diesel,VIC,car/14809262/toyota/landcruiser/vic/keysborough/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,landcruiser,lc300 sahara 4x4,automatic,diesel,wagon,2021,119970.0,55667.0
2022,Toyota,Yaris Cross,Urban,Wagon,87500.0,Automatic,,23999.0,Unleaded,VIC,car/14770881/toyota/yaris-cross/vic/west-footscray/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,yaris cross,urban,automatic,unleaded,wagon,2022,23999.0,87500.0
2020,Toyota,Landcruiser,Lc200 Sahara (4X4),Wagon,74681.0,Automatic,,124990.0,Diesel,VIC,car/14829530/toyota/landcruiser/vic/elsternwick/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,landcruiser,lc200 sahara 4x4,automatic,diesel,wagon,2020,124990.0,74681.0
2019,Toyota,Landcruiser Prado,Vx (4X4),Wagon,46186.0,Automatic,,71990.0,Diesel,VIC,car/14888334/toyota/landcruiser-prado/vic/elsternwick/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,landcruiser prado,vx 4x4,automatic,diesel,wagon,2019,71990.0,46186.0
2013,Toyota,RAV4,GXL,SUV,86221.0,,2026-04-18,22990.0,Other,VIC,car/14909030/toyota/rav4/vic/melbourne/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,rav4,gxl,,other,suv,2013,22990.0,86221.0
2011,Toyota,Hilux,Sr (4X4),Dual Cab Pick-up,238598.0,Manual,2026-02-16,18880.0,Diesel,VIC,car/14889336/toyota/hilux/vic/maidstone/dual-cab,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hilux,sr 4x4,manual,diesel,dual cab pick up,2011,18880.0,238598.0
2020,Toyota,Crown,,Sedan,109831.0,Automatic,,34995.0,Unleaded,VIC,car/14828499/toyota/crown/vic/maidstone/limousine,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,crown,,automatic,unleaded,sedan,2020,34995.0,109831.0
2013,Toyota,HiAce,Commuter,Bus,140600.0,Automatic,2026-06-01,32990.0,Unleaded,VIC,car/14841106/toyota/hiace/vic/maidstone/people-mover,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hiace,commuter,automatic,unleaded,bus,2013,32990.0,140600.0
