year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2023,Toyota,Hilux,Gr-Sport (4X4),Double Cab Pick Up,15452,Automatic,2026-09-28,79490,Diesel,VIC,car/14900984/toyota/hilux/vic/melbourne/dual-cab,2026-01-25T15:12:25,,
2010,Toyota,Corolla,Ascent,Sedan,148345,Automatic,2026-04-09,10990,Unleaded,VIC,car/14809745/toyota/corolla/vic/maidstone/sedan,2026-01-25T15:12:25,,
2020,Toyota,Landcruiser,Lc200 Sahara (4X4),Wagon,112434,Automatic,,116777,Diesel,VIC,car/14848631/toyota/landcruiser/vic/elsternwick/suv,2026-01-25T15:12:25,,
2023,Toyota,Fortuner,Gxl,Wagon,48805,Automatic,,57888,Diesel,VIC,car/14841932/toyota/fortuner/vic/tottenham/suv,2026-01-25T15:12:25,,
2022,Toyota,Kluger,Grande Hybrid Awd,Wagon,27983,Automatic,2026-10-17,67880,Hybrid,VIC,car/14887127/toyota/kluger/vic/south-melbourne/suv,2026-01-25T15:12:25,,
2014,Toyota,Camry,Atara Sx,Sedan,143950,Automatic,,15500,Unleaded,VIC,car/14885837/toyota/camry/vic/maidstone/sedan,2026-01-25T15:12:25,,
2014,Toyota,RAV4,Gxl (4X4),Wagon,187719,Automatic,,17999,Unleaded,VIC,car/14886200/toyota/rav4/vic/braybrook/suv,2026-01-25T15:12:25,,
2021,Toyota,Landcruiser Prado,Gx,Wagon,238185,Automatic,2026-10-28,41990,Diesel,VIC,car/14841710/toyota/landcruiser-prado/vic/west-footscray/suv,2026-01-25T15:12:25,,
2003,Toyota,Landcruiser Prado,GRANDE 4X4,SUV,438810,Automatic,2026-04-26,14990,Unleaded,VIC,car/14830069/toyota/landcruiser-prado/vic/ringwood/suv,2026-01-25T15:12:25,,
2018,Toyota,Kluger,Gx (4X4),Wagon,190908,Automatic,2026-02-12,28990,Unleaded,VIC,car/14796499/toyota/kluger/vic/west-footscray/suv,2026-01-25T15:12:25,,
2021,Toyota,HiAce,Lwb Gl (Colours),Van,117004,Automatic,,42990,Diesel,VIC,car/14894947/toyota/hiace/vic/elsternwick/van,2026-01-25T15:12:25,,
2019,Toyota,Hilux,Sr (4X4),Double Cab Chassis,199883,Manual,2026-02-10,38990,Diesel,VIC,car/14802595/toyota/hilux/vic/tullamarine/dual-cab,2026-01-25T15:12:25,,
2016,Toyota,Noah,,Commercial,105500,Automatic,,21995,Unleaded,VIC,car/14905526/toyota/noah/vic/maidstone/van,2026-01-25T15:12:25,,
2007,Toyota,Corolla,Conquest,Sedan,207908,Automatic,,9990,Unleaded,VIC,car/14887673/toyota/corolla/vic/elsternwick/sedan,2026-01-25T15:12:25,,
2018,Toyota,Camry,Ascent,Sedan,53363,Automatic,2026-11-05,30970,Unleaded,VIC,car/14894815/toyota/camry/vic/keysborough/sedan,2026-01-25T15:12:25,,
2014,Toyota,HiAce,Lwb,Van,195102,Automatic,2025-09-30,24999,Diesel,VIC,car/14886225/toyota/hiace/vic/braybrook/van,2026-01-25T15:12:25,,
2024,Toyota,RAV4,Cruiser (2Wd) Hybrid,Wagon,16716,Automatic,2026-03-28,58888,Hybrid,VIC,car/14853127/toyota/rav4/vic/south-melbourne/suv,2026-01-25T15:12:25,,
2011,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,253869,Manual,,31975,Diesel,VIC,car/14910432/toyota/landcruiser-prado/vic/officer/suv,2026-01-25T15:12:25,,
2022,Toyota,Kluger,Gx 2Wd,Wagon,85491,Automatic,2026-08-19,40888,Premium,VIC,car/14902284/toyota/kluger/vic/tottenham/suv,2026-01-25T15:12:25,,
2012,Toyota,Yaris,Yrx,Hatchback,200011,Automatic,,11989,Unleaded,VIC,car/14858531/toyota/yaris/vic/maidstone/hatchback,2026-01-25T15:12:25,,
2018,Toyota,Camry,Ascent,Sedan,108667,Automatic,2026-03-01,26970,Unleaded,VIC,car/14892296/toyota/camry/vic/keysborough/sedan,2026-01-25T15:12:25,,
2018,Toyota,Camry,Ascent,Sedan,151287,Automatic,2025-10-17,25500,Unleaded,VIC,car/14826270/toyota/camry/vic/st-kilda/sedan,2026-01-25T15:12:25,,
2021,Toyota,RAV4,Gx (Awd) Hybrid,Wagon,37349,Automatic,,39950,Hybrid,VIC,car/14820553/toyota/rav4/vic/elsternwick/suv,2026-01-25T15:12:25,,
2017,Toyota,Hilux,Sr5 (4X4),Dual Cab Utility,190011,Automatic,2026-03-21,37990,Diesel,VIC,car/14890947/toyota/hilux/vic/tullamarine/dual-cab,2026-01-25T15:12:25,,
2021,Toyota,Hilux,Rugged X (4X4),Double Cab Pick Up,69653,Automatic,,69990,Diesel,VIC,car/14872951/toyota/hilux/vic/elsternwick/dual-cab,2026-01-25T15:12:25,,
2013,Toyota,Mark X,PREMIUM,Sedan,46420,Automatic,,17995,Unleaded,VIC,car/14885953/toyota/mark-x/vic/maidstone/limousine,2026-01-25T15:12:25,,
