part,pick_price,warranty_price,core_deposit,models_2008_on
Gauge Fuel,$20,$24,,P.O.A
Gauge Accessory Type Gauge Fuel,$10,$12,,P.O.A
Gauge Inclometer Set 4WD,$45,$54,,P.O.A
Gauge Single,$15,$18,,P.O.A
Gauge Tacho,$20,$24,,P.O.A
Gauge Speedo,$20,$24,,P.O.A
Gauge Temp,$10,$12,,P.O.A
Gauge Voltage,$10,$12,,P.O.A
Gauge Instrument Cluster Complete,$65,$78,,P.O.A
Gear Boot,$10,$12,,P.O.A
Gear Knob,$5,$6,,P.O.A
Gear Lever on Column,$25,$30,,P.O.A
Gear Lever Floor Shift,$50,$60,,P.O.A
Gear Lever & Rod Assy FWD Type,$65,$78,,P.O.A
Gear Lever Direct into Gearbox,$45,$54,,P.O.A
Gear Lever on Floor Auto T-Bar,$55,$66,,P.O.A
Gear Shifter Manual w/ Linkages,$110,$132,,P.O.A
Gear Speedo Cog,$5,$6,,P.O.A
Gear Box Manual FWD 4/5 Speed,$160,$192,$20,P.O.A
Gear Box Manual Passenger Car 4 Spd,$175,$210,$20,P.O.A
Gear Box Manual Passenger Car 5 Spd,$200,$240,$20,P.O.A
Gear Box Manual 4WD w/Transfer Case,$450 to $550,$540 to $660,$20,P.O.A
Gear Box Manual Ute/Van,$200,$240,$20,P.O.A
Gear Box Kit Conversion,P.O.A,P.O.A,$20,P.O.A
Glass Front Door Passenger Car,$55,$66,,P.O.A
Glass Rear Door Passenger Car,$45,$54,,P.O.A
Glass Quarter Passenger Car,$40,$48,,P.O.A
Glass Opera,$50,$60,,P.O.A
Glass Front Screen Passenger Car,$55,$66,,P.O.A
Glass Rear Screen Passenger Car,$60,$72,,P.O.A
Glass S/Wagon Tail Gate,$90,$108,,P.O.A
Glass Front Door 4WD/Commercial,$65,$78,,P.O.A
Glass Rear Door 4WD/Commercial,$55,$66,,P.O.A
Glass Quarter 4WD/Commercial,$45,$54,,P.O.A
Glass Front Screen 4WD/Commercial,$65,$78,,P.O.A
Glass Rear Ute,$80,$96,,P.O.A
Glass Tailgate 4WD,$100,$120,,P.O.A
Glass Tailgate 4WD each,$65,$78,,P.O.A
Glass Front Door Van,$65,$78,,P.O.A
Glass Side Van,$65,$78,,P.O.A
Glass Side Van Sliding,$65,$78,,P.O.A
Glass Tailgate Van,$110,$132,,P.O.A
Glass Tailgate Hatch,$85,$102,,P.O.A
Glass Coupe Front Door,$65,$78,,P.O.A
Glass Cargo 3Door & S/Wagon,$45,$54,,P.O.A
Glass Sun Roof Push Up,$60,$72,,P.O.A
Glass Sun Roof Electric,$100,$120,,P.O.A
Globe,$2,,,P.O.A
Globe H4,$5,$6,,P.O.A
Globe Dash,.20c,,,P.O.A
Globe Socket,$2 each,$2.20,,P.O.A
Grille Between Head Lights Small,$30,$36,,P.O.A
Grille Between Head Lights Large,$50,$60,,P.O.A
Grille Surrounding Headlights,$75,$90,,P.O.A
Grille Lower,$25,$30,,P.O.A
